EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
145,John,Russell,JRUSSEL,011.44.1344.429268,10/01/2004 00:00:00,SA_MAN,14000.00,0.40,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,01/05/2005 00:00:00,SA_MAN,13500.00,0.30,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,03/10/2005 00:00:00,SA_MAN,12000.00,0.30,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,10/15/2007 00:00:00,SA_MAN,11000.00,0.30,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,01/29/2008 00:00:00,SA_MAN,10500.00,0.20,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,01/30/2005 00:00:00,SA_REP,10000.00,0.30,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,03/24/2005 00:00:00,SA_REP,9500.00,0.25,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,08/20/2005 00:00:00,SA_REP,9000.00,0.25,145,80
153,Christopher,Olsen,COLSEN,011.44.1344.498718,03/30/2006 00:00:00,SA_REP,8000.00,0.20,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,12/09/2006 00:00:00,SA_REP,7500.00,0.20,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,11/23/2007 00:00:00,SA_REP,7000.00,0.15,145,80
156,Janette,King,JKING,011.44.1345.429268,01/30/2004 00:00:00,SA_REP,10000.00,0.35,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,03/04/2004 00:00:00,SA_REP,9500.00,0.35,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,08/01/2004 00:00:00,SA_REP,9000.00,0.35,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,03/10/2005 00:00:00,SA_REP,8000.00,0.30,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,12/15/2005 00:00:00,SA_REP,7500.00,0.30,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,11/03/2006 00:00:00,SA_REP,7000.00,0.25,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11/11/2005 00:00:00,SA_REP,10500.00,0.25,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,03/19/2007 00:00:00,SA_REP,9500.00,0.15,147,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,01/24/2008 00:00:00,SA_REP,7200.00,0.10,147,80
165,David,Lee,DLEE,011.44.1346.529268,02/23/2008 00:00:00,SA_REP,6800.00,0.10,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,03/24/2008 00:00:00,SA_REP,6400.00,0.10,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,04/21/2008 00:00:00,SA_REP,6200.00,0.10,147,80
168,Lisa,Ozer,LOZER,011.44.1343.929268,03/11/2005 00:00:00,SA_REP,11500.00,0.25,148,80
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,03/23/2006 00:00:00,SA_REP,10000.00,0.20,148,80
170,Tayler,Fox,TFOX,011.44.1343.729268,01/24/2006 00:00:00,SA_REP,9600.00,0.20,148,80
171,William,Smith,WSMITH,011.44.1343.629268,02/23/2007 00:00:00,SA_REP,7400.00,0.15,148,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,03/24/2007 00:00:00,SA_REP,7300.00,0.15,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,04/21/2008 00:00:00,SA_REP,6100.00,0.10,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,05/11/2004 00:00:00,SA_REP,11000.00,0.30,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,03/19/2005 00:00:00,SA_REP,8800.00,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,03/24/2006 00:00:00,SA_REP,8600.00,0.20,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,04/23/2006 00:00:00,SA_REP,8400.00,0.20,149,80
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,01/04/2008 00:00:00,SA_REP,6200.00,0.10,149,80
