EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515,AD_PRES,24000,,,90
100,Steven,King,SKING,123,AD_PRES,24000,,,90
100,Steven,King,SKING,4567,AD_PRES,24000,,,90
101,Neena,Kochhar,NKOCHHAR,515,AD_VP,17000,,100,90
101,Neena,Kochhar,NKOCHHAR,123,AD_VP,17000,,100,90
101,Neena,Kochhar,NKOCHHAR,4568,AD_VP,17000,,100,90
102,Lex,De Haan,LDEHAAN,515,AD_VP,17000,,100,90
102,Lex,De Haan,LDEHAAN,123,AD_VP,17000,,100,90
102,Lex,De Haan,LDEHAAN,4569,AD_VP,17000,,100,90
103,Alexander,Hunold,AHUNOLD,590,IT_PROG,9000,,102,60
103,Alexander,Hunold,AHUNOLD,423,IT_PROG,9000,,102,60
103,Alexander,Hunold,AHUNOLD,4567,IT_PROG,9000,,102,60
104,Bruce,Ernst,BERNST,590,IT_PROG,6000,,103,60
104,Bruce,Ernst,BERNST,423,IT_PROG,6000,,103,60
104,Bruce,Ernst,BERNST,4568,IT_PROG,6000,,103,60
105,David,Austin,DAUSTIN,590,IT_PROG,4800,,103,60
105,David,Austin,DAUSTIN,423,IT_PROG,4800,,103,60
105,David,Austin,DAUSTIN,4569,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,590,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,423,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,4560,IT_PROG,4800,,103,60
107,Diana,Lorentz,DLORENTZ,590,IT_PROG,4200,,103,60
107,Diana,Lorentz,DLORENTZ,423,IT_PROG,4200,,103,60
107,Diana,Lorentz,DLORENTZ,5567,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,515,FI_MGR,12008,,101,100
108,Nancy,Greenberg,NGREENBE,124,FI_MGR,12008,,101,100
108,Nancy,Greenberg,NGREENBE,4569,FI_MGR,12008,,101,100
109,Daniel,Faviet,DFAVIET,515,FI_ACCOUNT,9000,,108,100
109,Daniel,Faviet,DFAVIET,124,FI_ACCOUNT,9000,,108,100
109,Daniel,Faviet,DFAVIET,4169,FI_ACCOUNT,9000,,108,100
110,John,Chen,JCHEN,515,FI_ACCOUNT,8200,,108,100
110,John,Chen,JCHEN,124,FI_ACCOUNT,8200,,108,100
110,John,Chen,JCHEN,4269,FI_ACCOUNT,8200,,108,100
111,Ismael,Sciarra,ISCIARRA,515,FI_ACCOUNT,7700,,108,100
111,Ismael,Sciarra,ISCIARRA,124,FI_ACCOUNT,7700,,108,100
111,Ismael,Sciarra,ISCIARRA,4369,FI_ACCOUNT,7700,,108,100
112,Jose Manuel,Urman,JMURMAN,515,FI_ACCOUNT,7800,,108,100
112,Jose Manuel,Urman,JMURMAN,124,FI_ACCOUNT,7800,,108,100
112,Jose Manuel,Urman,JMURMAN,4469,FI_ACCOUNT,7800,,108,100
113,Luis,Popp,LPOPP,515,FI_ACCOUNT,6900,,108,100
113,Luis,Popp,LPOPP,124,FI_ACCOUNT,6900,,108,100
113,Luis,Popp,LPOPP,4567,FI_ACCOUNT,6900,,108,100
114,Den,Raphaely,DRAPHEAL,515,PU_MAN,11000,,100,30
114,Den,Raphaely,DRAPHEAL,127,PU_MAN,11000,,100,30
114,Den,Raphaely,DRAPHEAL,4561,PU_MAN,11000,,100,30
115,Alexander,Khoo,AKHOO,515,PU_CLERK,3100,,114,30
115,Alexander,Khoo,AKHOO,127,PU_CLERK,3100,,114,30
115,Alexander,Khoo,AKHOO,4562,PU_CLERK,3100,,114,30
116,Shelli,Baida,SBAIDA,515,PU_CLERK,2900,,114,30
116,Shelli,Baida,SBAIDA,127,PU_CLERK,2900,,114,30
116,Shelli,Baida,SBAIDA,4563,PU_CLERK,2900,,114,30
117,Sigal,Tobias,STOBIAS,515,PU_CLERK,2800,,114,30
117,Sigal,Tobias,STOBIAS,127,PU_CLERK,2800,,114,30
117,Sigal,Tobias,STOBIAS,4564,PU_CLERK,2800,,114,30
118,Guy,Himuro,GHIMURO,515,PU_CLERK,2600,,114,30
118,Guy,Himuro,GHIMURO,127,PU_CLERK,2600,,114,30
118,Guy,Himuro,GHIMURO,4565,PU_CLERK,2600,,114,30
119,Karen,Colmenares,KCOLMENA,515,PU_CLERK,2500,,114,30
119,Karen,Colmenares,KCOLMENA,127,PU_CLERK,2500,,114,30
119,Karen,Colmenares,KCOLMENA,4566,PU_CLERK,2500,,114,30
120,Matthew,Weiss,MWEISS,650,ST_MAN,8000,,100,50
120,Matthew,Weiss,MWEISS,123,ST_MAN,8000,,100,50
120,Matthew,Weiss,MWEISS,1234,ST_MAN,8000,,100,50
121,Adam,Fripp,AFRIPP,650,ST_MAN,8200,,100,50
121,Adam,Fripp,AFRIPP,123,ST_MAN,8200,,100,50
121,Adam,Fripp,AFRIPP,2234,ST_MAN,8200,,100,50
122,Payam,Kaufling,PKAUFLIN,650,ST_MAN,7900,,100,50
122,Payam,Kaufling,PKAUFLIN,123,ST_MAN,7900,,100,50
122,Payam,Kaufling,PKAUFLIN,3234,ST_MAN,7900,,100,50
123,Shanta,Vollman,SVOLLMAN,650,ST_MAN,6500,,100,50
123,Shanta,Vollman,SVOLLMAN,123,ST_MAN,6500,,100,50
123,Shanta,Vollman,SVOLLMAN,4234,ST_MAN,6500,,100,50
124,Kevin,Mourgos,KMOURGOS,650,ST_MAN,5800,,100,50
124,Kevin,Mourgos,KMOURGOS,123,ST_MAN,5800,,100,50
124,Kevin,Mourgos,KMOURGOS,5234,ST_MAN,5800,,100,50
125,Julia,Nayer,JNAYER,650,ST_CLERK,3200,,120,50
125,Julia,Nayer,JNAYER,124,ST_CLERK,3200,,120,50
125,Julia,Nayer,JNAYER,1214,ST_CLERK,3200,,120,50
126,Irene,Mikkilineni,IMIKKILI,650,ST_CLERK,2700,,120,50
126,Irene,Mikkilineni,IMIKKILI,124,ST_CLERK,2700,,120,50
126,Irene,Mikkilineni,IMIKKILI,1224,ST_CLERK,2700,,120,50
127,James,Landry,JLANDRY,650,ST_CLERK,2400,,120,50
127,James,Landry,JLANDRY,124,ST_CLERK,2400,,120,50
127,James,Landry,JLANDRY,1334,ST_CLERK,2400,,120,50
128,Steven,Markle,SMARKLE,650,ST_CLERK,2200,,120,50
128,Steven,Markle,SMARKLE,124,ST_CLERK,2200,,120,50
128,Steven,Markle,SMARKLE,1434,ST_CLERK,2200,,120,50
129,Laura,Bissot,LBISSOT,650,ST_CLERK,3300,,121,50
129,Laura,Bissot,LBISSOT,124,ST_CLERK,3300,,121,50
129,Laura,Bissot,LBISSOT,5234,ST_CLERK,3300,,121,50
130,Mozhe,Atkinson,MATKINSO,650,ST_CLERK,2800,,121,50
130,Mozhe,Atkinson,MATKINSO,124,ST_CLERK,2800,,121,50
130,Mozhe,Atkinson,MATKINSO,6234,ST_CLERK,2800,,121,50
131,James,Marlow,JAMRLOW,650,ST_CLERK,2500,,121,50
131,James,Marlow,JAMRLOW,124,ST_CLERK,2500,,121,50
131,James,Marlow,JAMRLOW,7234,ST_CLERK,2500,,121,50
132,TJ,Olson,TJOLSON,650,ST_CLERK,2100,,121,50
132,TJ,Olson,TJOLSON,124,ST_CLERK,2100,,121,50
132,TJ,Olson,TJOLSON,8234,ST_CLERK,2100,,121,50
133,Jason,Mallin,JMALLIN,650,ST_CLERK,3300,,122,50
133,Jason,Mallin,JMALLIN,127,ST_CLERK,3300,,122,50
133,Jason,Mallin,JMALLIN,1934,ST_CLERK,3300,,122,50
134,Michael,Rogers,MROGERS,650,ST_CLERK,2900,,122,50
134,Michael,Rogers,MROGERS,127,ST_CLERK,2900,,122,50
134,Michael,Rogers,MROGERS,1834,ST_CLERK,2900,,122,50
135,Ki,Gee,KGEE,650,ST_CLERK,2400,,122,50
135,Ki,Gee,KGEE,127,ST_CLERK,2400,,122,50
135,Ki,Gee,KGEE,1734,ST_CLERK,2400,,122,50
136,Hazel,Philtanker,HPHILTAN,650,ST_CLERK,2200,,122,50
136,Hazel,Philtanker,HPHILTAN,127,ST_CLERK,2200,,122,50
136,Hazel,Philtanker,HPHILTAN,1634,ST_CLERK,2200,,122,50
137,Renske,Ladwig,RLADWIG,650,ST_CLERK,3600,,123,50
137,Renske,Ladwig,RLADWIG,121,ST_CLERK,3600,,123,50
137,Renske,Ladwig,RLADWIG,1234,ST_CLERK,3600,,123,50
138,Stephen,Stiles,SSTILES,650,ST_CLERK,3200,,123,50
138,Stephen,Stiles,SSTILES,121,ST_CLERK,3200,,123,50
138,Stephen,Stiles,SSTILES,2034,ST_CLERK,3200,,123,50
139,John,Seo,JSEO,650,ST_CLERK,2700,,123,50
139,John,Seo,JSEO,121,ST_CLERK,2700,,123,50
139,John,Seo,JSEO,2019,ST_CLERK,2700,,123,50
140,Joshua,Patel,JPATEL,650,ST_CLERK,2500,,123,50
140,Joshua,Patel,JPATEL,121,ST_CLERK,2500,,123,50
140,Joshua,Patel,JPATEL,1834,ST_CLERK,2500,,123,50
141,Trenna,Rajs,TRAJS,650,ST_CLERK,3500,,124,50
141,Trenna,Rajs,TRAJS,121,ST_CLERK,3500,,124,50
141,Trenna,Rajs,TRAJS,8009,ST_CLERK,3500,,124,50
142,Curtis,Davies,CDAVIES,650,ST_CLERK,3100,,124,50
142,Curtis,Davies,CDAVIES,121,ST_CLERK,3100,,124,50
142,Curtis,Davies,CDAVIES,2994,ST_CLERK,3100,,124,50
143,Randall,Matos,RMATOS,650,ST_CLERK,2600,,124,50
143,Randall,Matos,RMATOS,121,ST_CLERK,2600,,124,50
143,Randall,Matos,RMATOS,2874,ST_CLERK,2600,,124,50
144,Peter,Vargas,PVARGAS,650,ST_CLERK,2500,,124,50
144,Peter,Vargas,PVARGAS,121,ST_CLERK,2500,,124,50
144,Peter,Vargas,PVARGAS,2004,ST_CLERK,2500,,124,50
145,John,Russell,JRUSSEL,11,SA_MAN,14000,0.4,100,80
145,John,Russell,JRUSSEL,44,SA_MAN,14000,0.4,100,80
145,John,Russell,JRUSSEL,1344,SA_MAN,14000,0.4,100,80
145,John,Russell,JRUSSEL,429268,SA_MAN,14000,0.4,100,80
146,Karen,Partners,KPARTNER,11,SA_MAN,13500,0.3,100,80
146,Karen,Partners,KPARTNER,44,SA_MAN,13500,0.3,100,80
146,Karen,Partners,KPARTNER,1344,SA_MAN,13500,0.3,100,80
146,Karen,Partners,KPARTNER,467268,SA_MAN,13500,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,11,SA_MAN,12000,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,44,SA_MAN,12000,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,1344,SA_MAN,12000,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,429278,SA_MAN,12000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,11,SA_MAN,11000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,44,SA_MAN,11000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,1344,SA_MAN,11000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,619268,SA_MAN,11000,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,11,SA_MAN,10500,0.2,100,80
149,Eleni,Zlotkey,EZLOTKEY,44,SA_MAN,10500,0.2,100,80
149,Eleni,Zlotkey,EZLOTKEY,1344,SA_MAN,10500,0.2,100,80
149,Eleni,Zlotkey,EZLOTKEY,429018,SA_MAN,10500,0.2,100,80
150,Peter,Tucker,PTUCKER,11,SA_REP,10000,0.3,145,80
150,Peter,Tucker,PTUCKER,44,SA_REP,10000,0.3,145,80
150,Peter,Tucker,PTUCKER,1344,SA_REP,10000,0.3,145,80
150,Peter,Tucker,PTUCKER,129268,SA_REP,10000,0.3,145,80
151,David,Bernstein,DBERNSTE,11,SA_REP,9500,0.25,145,80
151,David,Bernstein,DBERNSTE,44,SA_REP,9500,0.25,145,80
151,David,Bernstein,DBERNSTE,1344,SA_REP,9500,0.25,145,80
151,David,Bernstein,DBERNSTE,345268,SA_REP,9500,0.25,145,80
152,Peter,Hall,PHALL,11,SA_REP,9000,0.25,145,80
152,Peter,Hall,PHALL,44,SA_REP,9000,0.25,145,80
152,Peter,Hall,PHALL,1344,SA_REP,9000,0.25,145,80
152,Peter,Hall,PHALL,478968,SA_REP,9000,0.25,145,80
153,Christopher,Olsen,COLSEN,11,SA_REP,8000,0.2,145,80
153,Christopher,Olsen,COLSEN,44,SA_REP,8000,0.2,145,80
153,Christopher,Olsen,COLSEN,1344,SA_REP,8000,0.2,145,80
153,Christopher,Olsen,COLSEN,498718,SA_REP,8000,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,11,SA_REP,7500,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,44,SA_REP,7500,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,1344,SA_REP,7500,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,987668,SA_REP,7500,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,11,SA_REP,7000,0.15,145,80
155,Oliver,Tuvault,OTUVAULT,44,SA_REP,7000,0.15,145,80
155,Oliver,Tuvault,OTUVAULT,1344,SA_REP,7000,0.15,145,80
155,Oliver,Tuvault,OTUVAULT,486508,SA_REP,7000,0.15,145,80
156,Janette,King,JKING,11,SA_REP,10000,0.35,146,80
156,Janette,King,JKING,44,SA_REP,10000,0.35,146,80
156,Janette,King,JKING,1345,SA_REP,10000,0.35,146,80
156,Janette,King,JKING,429268,SA_REP,10000,0.35,146,80
157,Patrick,Sully,PSULLY,11,SA_REP,9500,0.35,146,80
157,Patrick,Sully,PSULLY,44,SA_REP,9500,0.35,146,80
157,Patrick,Sully,PSULLY,1345,SA_REP,9500,0.35,146,80
157,Patrick,Sully,PSULLY,929268,SA_REP,9500,0.35,146,80
158,Allan,McEwen,AMCEWEN,11,SA_REP,9000,0.35,146,80
158,Allan,McEwen,AMCEWEN,44,SA_REP,9000,0.35,146,80
158,Allan,McEwen,AMCEWEN,1345,SA_REP,9000,0.35,146,80
158,Allan,McEwen,AMCEWEN,829268,SA_REP,9000,0.35,146,80
159,Lindsey,Smith,LSMITH,11,SA_REP,8000,0.3,146,80
159,Lindsey,Smith,LSMITH,44,SA_REP,8000,0.3,146,80
