EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steve,King,SKING,515.123.4567,06/17/2003 00:00:00,AD_PRES,24000.00,,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,09/21/2005 00:00:00,AD_VP,17000.00,,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,01/13/2001 00:00:00,AD_VP,17000.00,,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,01/03/2006 00:00:00,IT_PROG,9000.00,,102,60
104,Bruce,Ernst,BERNST,590.423.4568,05/21/2007 00:00:00,IT_PROG,6000.00,,103,60
105,David,Austin,DAUSTIN,590.423.4569,06/25/2005 00:00:00,IT_PROG,4800.00,,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,02/05/2006 00:00:00,IT_PROG,4800.00,,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,02/07/2007 00:00:00,IT_PROG,4200.00,,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,08/17/2002 00:00:00,FI_MGR,12008.00,,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,08/16/2002 00:00:00,FI_ACCOUNT,9000.00,,108,100
110,John,Chen,JCHEN,515.124.4269,09/28/2005 00:00:00,FI_ACCOUNT,8200.00,,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,09/30/2005 00:00:00,FI_ACCOUNT,7700.00,,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,03/07/2006 00:00:00,FI_ACCOUNT,7800.00,,108,100
113,Luis,Popp,LPOPP,515.124.4567,12/07/2007 00:00:00,FI_ACCOUNT,6900.00,,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,12/07/2002 00:00:00,PU_MAN,11000.00,,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,05/18/2003 00:00:00,PU_CLERK,3100.00,,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,12/24/2005 00:00:00,PU_CLERK,2900.00,,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,07/24/2005 00:00:00,PU_CLERK,2800.00,,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,11/15/2006 00:00:00,PU_CLERK,2600.00,,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,08/10/2007 00:00:00,PU_CLERK,2500.00,,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,07/18/2004 00:00:00,ST_MAN,8000.00,,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,04/10/2005 00:00:00,ST_MAN,8200.00,,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,05/01/2003 00:00:00,ST_MAN,7900.00,,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10/10/2005 00:00:00,ST_MAN,6500.00,,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,11/16/2007 00:00:00,ST_MAN,5800.00,,100,50
125,Julia,Nayer,JNAYER,650.124.1214,07/16/2005 00:00:00,ST_CLERK,3200.00,,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,09/28/2006 00:00:00,ST_CLERK,2700.00,,120,50
127,James,Landry,JLANDRY,650.124.1334,01/14/2007 00:00:00,ST_CLERK,2400.00,,120,50
128,Steven,Markle,SMARKLE,650.124.1434,03/08/2008 00:00:00,ST_CLERK,2200.00,,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,08/20/2005 00:00:00,ST_CLERK,3300.00,,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,10/30/2005 00:00:00,ST_CLERK,2800.00,,121,50
131,James,Marlow,JAMRLOW,650.124.7234,02/16/2005 00:00:00,ST_CLERK,2500.00,,121,50
132,TJ,Olson,TJOLSON,650.124.8234,04/10/2007 00:00:00,ST_CLERK,2100.00,,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,06/14/2004 00:00:00,ST_CLERK,3300.00,,122,50
134,Michael,Rogers,MROGERS,650.127.1834,08/26/2006 00:00:00,ST_CLERK,2900.00,,122,50
135,Ki,Gee,KGEE,650.127.1734,12/12/2007 00:00:00,ST_CLERK,2400.00,,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,02/06/2008 00:00:00,ST_CLERK,2200.00,,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,07/14/2003 00:00:00,ST_CLERK,3600.00,,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,10/26/2005 00:00:00,ST_CLERK,3200.00,,123,50
139,John,Seo,JSEO,650.121.2019,02/12/2006 00:00:00,ST_CLERK,2700.00,,123,50
140,Joshua,Patel,JPATEL,650.121.1834,04/06/2006 00:00:00,ST_CLERK,2500.00,,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,10/17/2003 00:00:00,ST_CLERK,3500.00,,124,50
142,Curtis,Davies,CDAVIES,650.121.2994,01/29/2005 00:00:00,ST_CLERK,3100.00,,124,50
143,Randall,Matos,RMATOS,650.121.2874,03/15/2006 00:00:00,ST_CLERK,2600.00,,124,50
144,Peter,Vargas,PVARGAS,650.121.2004,07/09/2006 00:00:00,ST_CLERK,2500.00,,124,50
145,John,Russell,JRUSSEL,011.44.1344.429268,10/01/2004 00:00:00,SA_MAN,14000.00,0.40,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,01/05/2005 00:00:00,SA_MAN,13500.00,0.30,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,03/10/2005 00:00:00,SA_MAN,12000.00,0.30,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,10/15/2007 00:00:00,SA_MAN,11000.00,0.30,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,01/29/2008 00:00:00,SA_MAN,10500.00,0.20,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,01/30/2005 00:00:00,SA_REP,10000.00,0.30,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,03/24/2005 00:00:00,SA_REP,9500.00,0.25,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,08/20/2005 00:00:00,SA_REP,9000.00,0.25,145,80
153,Christopher,Olsen,COLSEN,011.44.1344.498718,03/30/2006 00:00:00,SA_REP,8000.00,0.20,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,12/09/2006 00:00:00,SA_REP,7500.00,0.20,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,11/23/2007 00:00:00,SA_REP,7000.00,0.15,145,80
156,Janette,King,JKING,011.44.1345.429268,01/30/2004 00:00:00,SA_REP,10000.00,0.35,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,03/04/2004 00:00:00,SA_REP,9500.00,0.35,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,08/01/2004 00:00:00,SA_REP,9000.00,0.35,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,03/10/2005 00:00:00,SA_REP,8000.00,0.30,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,12/15/2005 00:00:00,SA_REP,7500.00,0.30,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,11/03/2006 00:00:00,SA_REP,7000.00,0.25,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11/11/2005 00:00:00,SA_REP,10500.00,0.25,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,03/19/2007 00:00:00,SA_REP,9500.00,0.15,147,80
