EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,SALARY,DEPARTMENT_ID
100,Steve,King,SKING,24000.00,90
101,Neena,Kochhar,NKOCHHAR,17000.00,90
102,Lex,De Haan,LDEHAAN,17000.00,90
103,Alexander,Hunold,AHUNOLD,9000.00,60
104,Bruce,Ernst,BERNST,6000.00,60
105,David,Austin,DAUSTIN,4800.00,60
106,Valli,Pataballa,VPATABAL,4800.00,60
107,Diana,Lorentz,DLORENTZ,4200.00,60
108,Nancy,Greenberg,NGREENBE,12008.00,100
109,Daniel,Faviet,DFAVIET,9000.00,100
110,John,Chen,JCHEN,8200.00,100
111,Ismael,Sciarra,ISCIARRA,7700.00,100
112,Jose Manuel,Urman,JMURMAN,7800.00,100
113,Luis,Popp,LPOPP,6900.00,100
114,Den,Raphaely,DRAPHEAL,11000.00,30
115,Alexander,Khoo,AKHOO,3100.00,30
116,Shelli,Baida,SBAIDA,2900.00,30
117,Sigal,Tobias,STOBIAS,2800.00,30
118,Guy,Himuro,GHIMURO,2600.00,30
119,Karen,Colmenares,KCOLMENA,2500.00,30
120,Matthew,Weiss,MWEISS,8000.00,50
121,Adam,Fripp,AFRIPP,8200.00,50
122,Payam,Kaufling,PKAUFLIN,7900.00,50
123,Shanta,Vollman,SVOLLMAN,6500.00,50
124,Kevin,Mourgos,KMOURGOS,5800.00,50
125,Julia,Nayer,JNAYER,3200.00,50
126,Irene,Mikkilineni,IMIKKILI,2700.00,50
127,James,Landry,JLANDRY,2400.00,50
128,Steven,Markle,SMARKLE,2200.00,50
129,Laura,Bissot,LBISSOT,3300.00,50
130,Mozhe,Atkinson,MATKINSO,2800.00,50
131,James,Marlow,JAMRLOW,2500.00,50
132,TJ,Olson,TJOLSON,2100.00,50
133,Jason,Mallin,JMALLIN,3300.00,50
134,Michael,Rogers,MROGERS,2900.00,50
135,Ki,Gee,KGEE,2400.00,50
136,Hazel,Philtanker,HPHILTAN,2200.00,50
137,Renske,Ladwig,RLADWIG,3600.00,50
138,Stephen,Stiles,SSTILES,3200.00,50
139,John,Seo,JSEO,2700.00,50
140,Joshua,Patel,JPATEL,2500.00,50
141,Trenna,Rajs,TRAJS,3500.00,50
142,Curtis,Davies,CDAVIES,3100.00,50
143,Randall,Matos,RMATOS,2600.00,50
144,Peter,Vargas,PVARGAS,2500.00,50
145,John,Russell,JRUSSEL,14000.00,80
146,Karen,Partners,KPARTNER,13500.00,80
147,Alberto,Errazuriz,AERRAZUR,12000.00,80
148,Gerald,Cambrault,GCAMBRAU,11000.00,80
149,Eleni,Zlotkey,EZLOTKEY,10500.00,80
150,Peter,Tucker,PTUCKER,10000.00,80
151,David,Bernstein,DBERNSTE,9500.00,80
152,Peter,Hall,PHALL,9000.00,80
153,Christopher,Olsen,COLSEN,8000.00,80
154,Nanette,Cambrault,NCAMBRAU,7500.00,80
155,Oliver,Tuvault,OTUVAULT,7000.00,80
156,Janette,King,JKING,10000.00,80
157,Patrick,Sully,PSULLY,9500.00,80
158,Allan,McEwen,AMCEWEN,9000.00,80
159,Lindsey,Smith,LSMITH,8000.00,80
160,Louise,Doran,LDORAN,7500.00,80
161,Sarath,Sewall,SSEWALL,7000.00,80
162,Clara,Vishney,CVISHNEY,10500.00,80
163,Danielle,Greene,DGREENE,9500.00,80
164,Mattea,Marvins,MMARVINS,7200.00,80
165,David,Lee,DLEE,6800.00,80
166,Sundar,Ande,SANDE,6400.00,80
167,Amit,Banda,ABANDA,6200.00,80
168,Lisa,Ozer,LOZER,11500.00,80
169,Harrison,Bloom,HBLOOM,10000.00,80
170,Tayler,Fox,TFOX,9600.00,80
171,William,Smith,WSMITH,7400.00,80
172,Elizabeth,Bates,EBATES,7300.00,80
173,Sundita,Kumar,SKUMAR,6100.00,80
174,Ellen,Abel,EABEL,11000.00,80
175,Alyssa,Hutton,AHUTTON,8800.00,80
176,Jonathon,Taylor,JTAYLOR,8600.00,80
177,Jack,Livingston,JLIVINGS,8400.00,80
178,Kimberely,Grant,KGRANT,7000.00,
179,Charles,Johnson,CJOHNSON,6200.00,80
180,Winston,Taylor,WTAYLOR,3200.00,50
181,Jean,Fleaur,JFLEAUR,3100.00,50
182,Martha,Sullivan,MSULLIVA,2500.00,50
183,Girard,Geoni,GGEONI,2800.00,50
184,Nandita,Sarchand,NSARCHAN,4200.00,50
185,Alexis,Bull,ABULL,4100.00,50
186,Julia,Dellinger,JDELLING,3400.00,50
187,Anthony,Cabrio,ACABRIO,3000.00,50
188,Kelly,Chung,KCHUNG,3800.00,50
189,Jennifer,Dilly,JDILLY,3600.00,50
190,Timothy,Gates,TGATES,2900.00,50
191,Randall,Perkins,RPERKINS,2500.00,50
192,Sarah,Bell,SBELL,4000.00,50
193,Britney,Everett,BEVERETT,3900.00,50
194,Samuel,McCain,SMCCAIN,3200.00,50
195,Vance,Jones,VJONES,2800.00,50
196,Alana,Walsh,AWALSH,3100.00,50
197,Kevin,Feeney,KFEENEY,3000.00,50
198,Donald,OConnell,DOCONNEL,2600.00,50
199,Douglas,Grant,DGRANT,2600.00,50
200,Jennifer,Whalen,JWHALEN,4400.00,10
201,Michael,Hartstein,MHARTSTE,13000.00,20
202,Pat,Fay,PFAY,6000.00,20
203,Susan,Mavris,SMAVRIS,6500.00,40
204,Hermann,Baer,HBAER,10000.00,70
205,Shelley,Higgins,SHIGGINS,12008.00,110
206,William,Gietz,WGIETZ,8300.00,110
