src_EMPLOYEE_ID,src_EMAIL,src_SALARY,src_DEPARTMENT_ID,DEPARTMENT_NAME
100,SKING,24000.00,90,Executive
101,NKOCHHAR,17000.00,90,Executive
102,LDEHAAN,17000.00,90,Executive
103,AHUNOLD,9000.00,60,IT
104,BERNST,6000.00,60,IT
105,DAUSTIN,4800.00,60,IT
106,VPATABAL,4800.00,60,IT
107,DLORENTZ,4200.00,60,IT
108,NGREENBE,12008.00,100,Finance
109,DFAVIET,9000.00,100,Finance
110,JCHEN,8200.00,100,Finance
111,ISCIARRA,7700.00,100,Finance
112,JMURMAN,7800.00,100,Finance
113,LPOPP,6900.00,100,Finance
114,DRAPHEAL,11000.00,30,Purchasing
115,AKHOO,3100.00,30,Purchasing
116,SBAIDA,2900.00,30,Purchasing
117,STOBIAS,2800.00,30,Purchasing
118,GHIMURO,2600.00,30,Purchasing
119,KCOLMENA,2500.00,30,Purchasing
120,MWEISS,8000.00,50,Shipping
121,AFRIPP,8200.00,50,Shipping
122,PKAUFLIN,7900.00,50,Shipping
123,SVOLLMAN,6500.00,50,Shipping
124,KMOURGOS,5800.00,50,Shipping
125,JNAYER,3200.00,50,Shipping
126,IMIKKILI,2700.00,50,Shipping
127,JLANDRY,2400.00,50,Shipping
128,SMARKLE,2200.00,50,Shipping
129,LBISSOT,3300.00,50,Shipping
130,MATKINSO,2800.00,50,Shipping
131,JAMRLOW,2500.00,50,Shipping
132,TJOLSON,2100.00,50,Shipping
133,JMALLIN,3300.00,50,Shipping
134,MROGERS,2900.00,50,Shipping
135,KGEE,2400.00,50,Shipping
136,HPHILTAN,2200.00,50,Shipping
137,RLADWIG,3600.00,50,Shipping
138,SSTILES,3200.00,50,Shipping
139,JSEO,2700.00,50,Shipping
140,JPATEL,2500.00,50,Shipping
141,TRAJS,3500.00,50,Shipping
142,CDAVIES,3100.00,50,Shipping
143,RMATOS,2600.00,50,Shipping
144,PVARGAS,2500.00,50,Shipping
145,JRUSSEL,14000.00,80,Sales
146,KPARTNER,13500.00,80,Sales
147,AERRAZUR,12000.00,80,Sales
148,GCAMBRAU,11000.00,80,Sales
149,EZLOTKEY,10500.00,80,Sales
150,PTUCKER,10000.00,80,Sales
151,DBERNSTE,9500.00,80,Sales
152,PHALL,9000.00,80,Sales
153,COLSEN,8000.00,80,Sales
154,NCAMBRAU,7500.00,80,Sales
155,OTUVAULT,7000.00,80,Sales
156,JKING,10000.00,80,Sales
157,PSULLY,9500.00,80,Sales
158,AMCEWEN,9000.00,80,Sales
159,LSMITH,8000.00,80,Sales
160,LDORAN,7500.00,80,Sales
161,SSEWALL,7000.00,80,Sales
162,CVISHNEY,10500.00,80,Sales
163,DGREENE,9500.00,80,Sales
164,MMARVINS,7200.00,80,Sales
165,DLEE,6800.00,80,Sales
166,SANDE,6400.00,80,Sales
167,ABANDA,6200.00,80,Sales
168,LOZER,11500.00,80,Sales
169,HBLOOM,10000.00,80,Sales
170,TFOX,9600.00,80,Sales
171,WSMITH,7400.00,80,Sales
172,EBATES,7300.00,80,Sales
173,SKUMAR,6100.00,80,Sales
174,EABEL,11000.00,80,Sales
175,AHUTTON,8800.00,80,Sales
176,JTAYLOR,8600.00,80,Sales
177,JLIVINGS,8400.00,80,Sales
178,KGRANT,7000.00,,
179,CJOHNSON,6200.00,80,Sales
180,WTAYLOR,3200.00,50,Shipping
181,JFLEAUR,3100.00,50,Shipping
182,MSULLIVA,2500.00,50,Shipping
183,GGEONI,2800.00,50,Shipping
184,NSARCHAN,4200.00,50,Shipping
185,ABULL,4100.00,50,Shipping
186,JDELLING,3400.00,50,Shipping
187,ACABRIO,3000.00,50,Shipping
188,KCHUNG,3800.00,50,Shipping
189,JDILLY,3600.00,50,Shipping
190,TGATES,2900.00,50,Shipping
191,RPERKINS,2500.00,50,Shipping
192,SBELL,4000.00,50,Shipping
193,BEVERETT,3900.00,50,Shipping
194,SMCCAIN,3200.00,50,Shipping
195,VJONES,2800.00,50,Shipping
196,AWALSH,3100.00,50,Shipping
197,KFEENEY,3000.00,50,Shipping
198,DOCONNEL,2600.00,50,Shipping
199,DGRANT,2600.00,50,Shipping
200,JWHALEN,4400.00,10,Administration
201,MHARTSTE,13000.00,20,Marketing
202,PFAY,6000.00,20,Marketing
203,SMAVRIS,6500.00,40,Human Resources
204,HBAER,10000.00,70,Public Relations
205,SHIGGINS,12008.00,110,Accounting
206,WGIETZ,8300.00,110,Accounting
999,SKING2,2400.00,10,Administration
